,LEAP_ID,EmbeddingMethod,Silhouette,ARI_with_stamp,NMI_with_stamp,ARI_with_miso_hne,NMI_with_miso_hne,ARI_with_miso,NMI_with_miso
139,LEAP-033A,miso_hne,0.08978666,0.004910683924090194,0.09082413152260137,,0.7177783550776372,0.5995832612108417,0.7177783550776372
140,LEAP-033A,miso,0.041388214,0.008858305420639988,0.11574338284295184,,,,
141,LEAP-033B,uni,0.025767898,0.020639395591060383,0.07628308295891462,0.09728203753240722,0.2359705742519705,0.11739664909010362,0.2359705742519705
142,LEAP-033B,miso_hne,0.066426784,0.028226527597940795,0.16525019792336287,,0.6013685164720091,0.45832497735506367,0.6013685164720091
143,LEAP-033B,miso,0.026832499,0.03770560912100288,0.21992841183274797,,,,
144,LEAP-034A,uni,0.030442724,0.11854971372355062,0.2570712415869647,0.242031375201346,0.4341287933922137,0.2486706188897335,0.4341287933922137
145,LEAP-034A,miso_hne,0.078603834,0.0784792489804505,0.2566771687237109,,0.6740858777963021,0.5344931753519454,0.6740858777963021
146,LEAP-034A,miso,0.037597895,0.11496057776599326,0.3171468677413285,,,,
147,LEAP-034B,uni,0.033243127,0.08468416238444977,0.1964654873431397,0.19197155672521082,0.37664501506417003,0.20565820544465177,0.37664501506417003
148,LEAP-034B,miso_hne,0.06775486,0.06760315749196283,0.22174464604307334,,0.5940396434699557,0.41106769682433963,0.5940396434699557
149,LEAP-034B,miso,0.019043298,0.09561771890800486,0.3082201801056069,,,,
150,LEAP-035A,uni,0.047454044,0.07907409529397862,0.25337794433803235,0.2653825508890946,0.4721018132223165,0.27449230083226783,0.4721018132223165
151,LEAP-035A,miso_hne,0.07784421,0.051682786692511175,0.25601725167958966,,0.664462143467981,0.48631151253580607,0.664462143467981
152,LEAP-035A,miso,0.044103988,0.09315997955634714,0.31607577587305424,,,,
153,LEAP-035B,uni,0.023899274,0.19573608108338317,0.27929515689450246,0.15641403748363888,0.37632303866000716,0.20014422007797095,0.37632303866000716
154,LEAP-035B,miso_hne,0.04987176,0.1362155932084303,0.2579190358229508,,0.5809711321132949,0.4441586357389604,0.5809711321132949
